project_id,project_name,project_type,start_date,planned_end_date,actual_end_date,budget,spent,planned_hours,actual_hours,team_size,completion_rate,status,priority,methodology,department,client_type,technology_stack,complexity_score,dependencies,velocity,defect_rate,team_turnover,risk_level,status_comments,project_description,team_feedback
PROJ-001,Mobile App Redesign,New Development,2024-01-15,2024-06-30,,150000,125000,2000,2300,8,75.5,Active,High,Agile,Engineering,External,"React Native, Node.js, PostgreSQL",7,3,42.5,0.08,0.125,Medium,"Sprint 12 complete. Testing environment setup taking longer than expected. Team expressed concerns about unclear acceptance criteria from product owner. Three developers raised technical debt issues in retrospective. Performance testing revealed memory leaks that need addressing before release.","Complete redesign of the mobile application to improve user experience, add new features including offline mode and push notifications, and modernize the tech stack.","Team morale is generally positive but fatigue setting in. Need more clarity on final scope. Good collaboration between frontend and backend teams."
PROJ-002,API Gateway Migration,Migration,2024-03-01,2024-09-30,,200000,90000,3000,1500,6,45.0,Active,Medium,Agile,Engineering,Internal,"Kong, Kubernetes, Go",6,5,38.0,0.05,0.0,Low,"Good progress on migration. Successfully moved 3 out of 7 services to new gateway. Performance metrics showing 30% improvement in response times. Team morale is high and velocity stable at 38 points per sprint. No major blockers identified. Documentation being updated as we go.","Migrate from legacy API gateway to Kong for improved performance, better monitoring, and easier maintenance. Includes setting up new CI/CD pipelines.","Excellent team dynamics. Everyone is learning new technologies and excited about the modernization. Good support from DevOps team."
PROJ-003,Legacy System Decommission,Maintenance,2023-10-01,2024-12-31,,300000,280000,4000,4200,5,85.0,Active,High,Waterfall,IT,Internal,"COBOL, Java, Oracle",9,8,25.0,0.15,0.20,High,"Nearly complete but hitting unexpected issues. Final data migration scheduled for next month. Minor scope additions from compliance team causing slight delay. Budget tracking well at 93% but hours overrun by 5%. Two senior developers left the team - knowledge transfer gaps emerging. Legacy code more complex than initially assessed.","Decommission 20-year-old COBOL system and migrate all functionality to modern Java microservices. Includes data migration for 50M records.","Team stressed due to knowledge gaps after departures. Working overtime to meet deadlines. Management supportive but pressure is high."
PROJ-004,Customer Portal v2,New Development,2024-02-01,2024-08-31,,180000,95000,2400,1400,7,55.0,Active,High,Agile,Product,External,"Vue.js, Python, MongoDB",5,2,45.0,0.03,0.0,Low,"On track for delivery. Sprint 8 completed with all stories done. Customer demos going well with positive feedback. Minor UX adjustments requested. Performance optimization phase starting next sprint. Team velocity consistent and predictable.","Build new customer self-service portal with account management, order tracking, support ticketing, and knowledge base integration.","Team is motivated and enjoying the project. Good relationship with product owner. Clear requirements and regular feedback loops working well."
PROJ-005,Data Warehouse Modernization,Migration,2024-04-15,2024-11-30,,250000,180000,3200,2800,6,70.0,Active,Critical,Hybrid,Data Science,Internal,"Snowflake, dbt, Airflow, Python",8,6,32.0,0.10,0.167,High,"Critical project facing challenges. ETL pipelines more complex than estimated. Data quality issues discovered in source systems requiring additional cleansing work. One data engineer resigned - replacement still being hired. Stakeholders pushing for earlier delivery but timeline at risk. Need executive decision on scope vs timeline tradeoff.","Migrate on-premise data warehouse to Snowflake cloud platform. Includes rebuilding 200+ ETL jobs and creating new data models.","Team feeling pressure from multiple directions. Good technical skills but overwhelmed by scope. Need more resources or scope reduction."
PROJ-006,Security Compliance Upgrade,Enhancement,2024-05-01,2024-10-31,,120000,45000,1600,700,4,40.0,Active,Critical,Agile,Security,Internal,"Java, Spring Security, OAuth2",6,4,28.0,0.02,0.0,Medium,"Progressing steadily. Completed authentication module upgrade. Working on authorization framework now. External security audit scheduled for next month. Some integration challenges with legacy systems. Team focused and methodical. On track for compliance deadline.","Upgrade security infrastructure to meet SOC2 and GDPR requirements. Includes implementing new authentication, authorization, and audit logging.","Small but skilled team. Taking security seriously. Good documentation practices. Would benefit from additional testing resources."
PROJ-007,ML Recommendation Engine,Research,2024-06-01,2024-12-31,,175000,60000,2200,900,5,35.0,Active,Medium,Agile,Data Science,External,"Python, TensorFlow, FastAPI, Redis",8,3,30.0,0.05,0.0,Medium,"Research phase complete. Initial models showing promising results with 75% accuracy. Moving to production-ready implementation. Need to optimize model inference time for real-time recommendations. A/B testing framework being set up. Stakeholder expectations may need management - full personalization will take longer than hoped.","Build machine learning recommendation engine for e-commerce platform to increase cross-sell and upsell conversions.","Team excited about cutting-edge work. Good mix of ML and engineering skills. Some tension between research perfection and production deadlines."
PROJ-008,DevOps Pipeline Overhaul,Enhancement,2024-03-15,2024-07-31,,80000,75000,1000,1100,3,90.0,Active,Medium,Kanban,Engineering,Internal,"GitHub Actions, Terraform, Docker, ArgoCD",5,2,0.0,0.0,0.0,Low,"Nearly complete. All major pipelines migrated. Final testing and documentation in progress. Small budget overrun due to additional security scanning tools. Team delivered ahead of internal estimates. Ready for handover to operations team next week.","Modernize CI/CD pipelines with GitOps practices, infrastructure as code, and automated security scanning.","Great teamwork. DevOps engineers highly skilled and autonomous. Good collaboration with development teams during migration."
PROJ-009,ERP Integration,Integration,2024-01-01,2024-06-30,,400000,420000,5000,5500,10,95.0,Active,Critical,Waterfall,IT,External,"SAP, MuleSoft, Java",9,12,20.0,0.18,0.10,High,"Over budget and behind schedule but nearing completion. Final integration testing phase. Multiple vendor dependencies causing coordination challenges. Go-live date pushed twice already. Executive visibility very high. Weekend work required to meet revised deadline. Quality concerns from testing team need resolution.","Integrate new SAP ERP system with existing business applications including CRM, e-commerce, and warehouse management systems.","Team exhausted after months of intensive work. Some frustration with scope creep and vendor issues. Need celebration and recovery time after launch."
PROJ-010,Mobile Banking App,New Development,2024-07-01,2025-01-31,,350000,50000,4500,600,8,12.0,Active,Critical,Agile,Engineering,External,"Flutter, Kotlin, Swift, Node.js",8,5,40.0,0.02,0.0,Medium,"Early stages progressing well. Sprint 3 just completed. Architecture decisions finalized. Security framework approved by compliance. First internal demo scheduled for next week. Team ramping up smoothly. No red flags yet but complex project ahead.","Develop new mobile banking application with biometric authentication, real-time transactions, and personal finance management features.","New team forming well. Good mix of experience levels. Excited about the project but aware of the challenges ahead."
PROJ-011,Website Performance Optimization,Enhancement,2024-08-01,2024-10-31,,60000,15000,800,200,3,20.0,Active,Medium,Kanban,Engineering,Internal,"React, Next.js, CDN, Redis",4,1,0.0,0.01,0.0,Low,"Just started. Initial performance audit complete. Quick wins identified and some already implemented. Core Web Vitals baseline established. CDN configuration in progress. Expecting significant improvements within 2 weeks.","Optimize website performance to improve Core Web Vitals scores and reduce page load times by 50%.","Small focused team. Clear goals and metrics. Good support from content and marketing teams."
PROJ-012,Inventory Management System,New Development,2024-04-01,2024-09-30,,220000,160000,2800,2200,7,75.0,Active,High,Agile,Product,Internal,"Python, Django, PostgreSQL, React",6,4,35.0,0.08,0.143,Medium,"Good progress but some concerns emerging. Core functionality complete. Integration with warehouse systems ongoing. One developer on extended leave - workload redistributed. Some technical debt accumulating that needs addressing. User acceptance testing starts next sprint.","Build new inventory management system to replace spreadsheet-based tracking with real-time visibility and automated reordering.","Team working well despite being short-staffed. Good domain knowledge from operations team members. Need to address technical debt soon."
PROJ-013,Analytics Dashboard,Enhancement,2024-05-15,2024-08-31,,90000,70000,1200,1000,4,80.0,Active,Medium,Agile,Data Science,Internal,"Python, Streamlit, Plotly, PostgreSQL",5,3,38.0,0.03,0.0,Low,"Nearing completion. All major visualizations implemented. User feedback very positive. Final round of refinements based on stakeholder input. Performance optimization for large datasets in progress. Documentation being finalized.","Create executive analytics dashboard with key business metrics, trend analysis, and drill-down capabilities.","Happy team delivering visible value. Good stakeholder engagement throughout. Model project for future dashboard work."
PROJ-014,Cloud Migration Phase 2,Migration,2024-02-15,2024-08-31,,500000,350000,6000,4500,12,72.0,Active,Critical,Hybrid,IT,Internal,"AWS, Terraform, Kubernetes, Docker",8,10,28.0,0.07,0.083,Medium,"Complex project progressing steadily. 15 of 22 applications migrated. Some applications requiring more refactoring than planned. Cost optimization efforts showing results. Security review for each migration adding time but necessary. On track for year-end deadline.","Migrate remaining on-premise applications to AWS cloud including database migrations and infrastructure modernization.","Large team with good skills but coordination overhead. Regular sync meetings essential. Some knowledge silos that need addressing."
PROJ-015,HR System Replacement,New Development,2024-03-01,2024-11-30,,280000,120000,3600,1800,6,45.0,On Hold,High,Agile,IT,Internal,"Workday API, Python, React",7,6,30.0,0.05,0.0,High,"Project on hold pending vendor contract renegotiation. Technical work 45% complete but blocked. Team reassigned to other projects temporarily. Risk of knowledge loss if delay extends. Stakeholders frustrated with vendor delays. Resume date uncertain.","Implement new HR information system with employee self-service, performance management, and learning management modules.","Team was making good progress before pause. Concerned about momentum loss. Hope to resume soon with same team members."
